temperature,fraction_melted
79.6519,0.0000
79.9218,0.0179
80.1916,0.0366
80.4615,0.0422
80.7314,0.0561
81.0013,0.0685
81.2712,0.0771
81.5410,0.0892
81.8109,0.1061
82.0807,0.1213
82.3506,0.1296
82.6199,0.1461
82.8575,0.1709
83.1275,0.1786
83.3973,0.1918
83.6670,0.2345
83.9135,0.2827
84.1445,0.3411
84.3222,0.3906
84.5125,0.4561
84.7043,0.5375
84.8461,0.6154
85.0626,0.6861
85.1969,0.7863
85.3680,0.8462
85.5356,0.8959
85.7807,0.9338
86.0505,0.9537
86.3204,0.9661
86.5966,0.9833
86.8602,0.9859
87.1301,0.9898
87.4001,0.9862
87.6701,0.9844
87.9401,0.9817
88.2100,0.9936
88.4799,0.9950
88.7499,0.9959
89.0199,0.9918
