temperature,fraction_melted
5.4595,0.0000
7.4541,0.0092
9.3173,0.0260
12.0495,0.0338
14.5592,0.0489
16.3996,0.0583
18.2402,0.0706
20.0807,0.0814
21.9212,0.0925
23.7617,0.1043
25.6026,0.1208
27.4438,0.1403
29.2816,0.1648
30.7305,0.1947
32.0662,0.2322
33.4635,0.2825
34.5984,0.3301
35.4303,0.3846
36.2185,0.4302
37.0194,0.4884
37.7605,0.5453
38.6014,0.6057
39.3582,0.6594
40.1704,0.7093
41.0660,0.7568
42.1643,0.8056
43.6483,0.8505
45.4525,0.8912
47.2952,0.9299
48.9952,0.9537
50.8660,0.9684
52.7063,0.9769
54.5464,0.9833
56.4421,0.9873
58.2818,0.9880
60.1217,0.9916
61.9613,0.9916
63.8010,0.9920
65.6406,0.9922
67.7035,0.9955
69.5431,0.9947
71.6057,0.9951
73.4679,0.9976
75.2890,0.9985
77.4857,0.9978
80.1017,0.9981
81.9191,0.9980
83.8114,0.9985
86.1030,0.9995
88.1570,1.0000
90.2110,0.9994
92.0185,0.9999
