T,dFdT
69.5,-0.038974581
69.6,-0.055072097
69.7,-0.04324506
69.8,0.002765188
69.9,0.112806292
70,0.318558486
70.1,0.629605168
70.2,1.036380837
70.3,1.524273111
70.4,2.082548765
70.5,2.717618
70.6,3.45525309
70.7,4.340916453
70.8,5.493363283
70.9,7.002800816
71,8.270309557
71.1,9.3334828
71.2,10.59527354
71.3,12.34844367
71.4,14.51560334
71.5,17.06620349
71.6,19.89512742
71.7,22.43525142
71.8,24.52647509
71.9,26.29725865
72,27.90134585
72.1,29.28199243
72.2,30.29081923
72.3,31.0362494
72.4,31.81762313
72.5,32.88179376
72.6,34.02999291
72.7,34.81357596
72.8,35.41171958
72.9,36.11660012
73,37.04790786
73.1,37.90516133
73.2,38.5186365
73.3,39.06355849
73.4,39.69379596
73.5,40.43507473
73.6,41.2067857
73.7,41.98739594
73.8,42.73172638
73.9,43.33351716
74,43.79759701
74.1,44.22753304
74.2,44.71762619
74.3,45.3331647
74.4,46.02862917
74.5,46.73760689
74.6,47.3948036
74.7,47.93326306
74.8,48.30443552
74.9,48.50145627
75,48.58252423
