T,F
69.5,0.0
69.6,-0.0027536048398130100
69.7,-0.0029671287944173100
69.8,-7.52645614554614E-05
69.9,0.007727303014400220
70.0,0.02351696794079700
70.1,0.04935691176976490
70.2,0.08524802931313390
70.3,0.12998142647538800
70.4,0.18228982287865800
70.5,0.2419570673028620
70.6,0.31059228355856900
70.7,0.391757206234427
70.8,0.49366271586619500
70.9,0.6267569340155510
71.0,0.7656042477135240
71.1,0.8821383468734500
71.2,0.9983865462479770
71.3,1.1491345898164300
71.4,1.3451510794733500
71.5,1.5810390703062200
71.6,1.850015274193060
71.7,2.1184676706264300
71.8,2.3500350542293400
71.9,2.5431354158698600
72.0,2.711878954226720
72.1,2.861115643423990
72.2,2.9805893120196700
72.3,3.0683021604737100
72.4,3.1446423557429400
72.5,3.2369195738004000
72.6,3.3475380626188100
72.7,3.4441271723504200
72.8,3.513213506024700
72.9,3.5783647142870400
73.0,3.6601741284418200
73.1,3.749602188864860
73.2,3.823138620842570
73.3,3.8810584785453300
73.4,3.9398164515107100
73.5,4.008392263846260
73.6,4.0840417508102100
73.7,4.161657811260390
73.8,4.237904845224320
73.9,4.30521090596813
74.0,4.358504437472010
74.1,4.403205231580390
74.2,4.449206690655680
74.3,4.504488273596010
74.4,4.570038422361620
74.5,4.6402605318386
74.6,4.708569253480220
74.7,4.768352062081710
74.8,4.813833658054070
74.9,4.842243318794410
75.0,4.856147754041790
